City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Pervoye Maya,RU,83.91,scattered clouds,56.164,44.7196,
165,Oranjestad,AW,81.46,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
174,Sisophon,KH,80.17,overcast clouds,13.5859,102.9737,Pyramid Hotel
177,Tual,ID,79.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
179,Krasnyy Yar,RU,85.93,broken clouds,46.5331,48.3456,Cottege near Ufa
181,Padang,ID,78.48,broken clouds,-0.9492,100.3543,Mercure Padang
182,Naze,JP,78.22,scattered clouds,28.3667,129.4833,Amami Port Tower Hotel
183,Baturaja,ID,75.22,few clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
185,Pallasovka,RU,85.06,overcast clouds,50.05,46.8833,"Hotel ""Natalia"""
191,Aurangabad,IN,79.97,overcast clouds,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
193,Dingle,PH,76.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
195,Kavaratti,IN,80.94,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
197,Bay Roberts,CA,78.66,overcast clouds,47.5999,-53.2648,Stonewall Inn
204,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
206,Muroto,JP,82.22,overcast clouds,33.2833,134.15,Oota Ryokan
213,Meulaboh,ID,79.77,moderate rain,4.1363,96.1285,Kost Pria
214,Salinopolis,BR,84.97,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
215,Kieta,PG,76.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
216,Ponta Do Sol,PT,75.83,broken clouds,32.6667,-17.1,Hotel do Campo
218,Fukue,JP,79.83,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
221,Nanakuli,US,76.1,clear sky,21.3906,-158.1547,Camp Pālehua
223,Aquiraz,BR,87.89,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
224,Namatanai,PG,77.68,light rain,-3.6667,152.4333,Seagulls Inn Namatani
226,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
227,Erzin,TR,83.12,clear sky,36.9559,36.2,Artemis Otel
230,Zhuhai,CN,85.78,moderate rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
234,Freeport,US,80.44,light rain,40.6576,-73.5832,The Freeport Inn and Marina
235,Jinxi,CN,79.66,overcast clouds,30.4323,116.2922,Jinling Hotel
239,Half Moon Bay,US,78.91,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
243,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
247,Nara,JP,83.48,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
251,Sheboygan,US,82.38,overcast clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
258,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
261,Pakhtakoron,TJ,83.34,clear sky,40.1571,68.7466,
263,Safaga,EG,89.78,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
264,Gwadar,PK,80.53,few clouds,25.1216,62.3254,Sadaf Resort
269,Katsuura,JP,84.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
270,Indiana,US,85.95,clear sky,40.0003,-86.2503,WonderTree Farm
273,Hamilton,US,88.88,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
